country,date,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,people_fully_vaccinated_per_hundred_2
Africa,2021-02-03,0.0,0.0,34.0,0.0
Africa,2021-02-04,0.0,0.0,39.0,0.0
Africa,2021-02-05,0.0,0.0,44.0,0.0
Africa,2021-02-06,0.0,0.0,41.0,0.0
Africa,2021-02-08,0.0,0.0,38.0,0.01
Africa,2021-02-09,0.0,0.0,39.0,0.01
Africa,2021-02-10,0.0,0.0,48.0,0.01
Africa,2021-02-11,0.0,0.0,55.0,0.01
Africa,2021-02-12,0.0,0.0,77.0,0.01
Africa,2021-02-13,0.0,0.0,100.0,0.02
Africa,2021-02-15,0.0,0.0,125.0,0.02
Africa,2021-02-16,0.0,0.0,139.0,0.03
Africa,2021-02-17,0.0,0.0,144.0,0.03
Africa,2021-02-18,0.0,0.0,149.0,0.04
Africa,2021-02-19,0.19,0.0,144.0,0.05
Africa,2021-02-20,0.19,0.0,125.0,0.05
Africa,2021-02-21,0.19,0.0,108.0,0.05
Africa,2021-02-22,0.2,0.01,104.0,0.06
Africa,2021-02-23,0.21,0.01,95.0,0.06
Africa,2021-02-24,0.23,0.01,107.0,0.08
Africa,2021-02-25,0.25,0.01,121.0,0.08
Africa,2021-02-26,0.27,0.01,124.0,0.1
Africa,2021-02-27,0.27,0.02,133.0,0.12
Africa,2021-02-28,0.28,0.02,133.0,0.12
Africa,2021-03-01,0.29,0.02,143.0,0.14
Africa,2021-03-02,0.29,0.03,149.0,0.16
Africa,2021-03-03,0.3,0.03,135.0,0.17
Africa,2021-03-04,0.31,0.04,121.0,0.17
Africa,2021-03-05,0.32,0.05,120.0,0.19
Africa,2021-03-06,0.33,0.05,122.0,0.2
Africa,2021-03-07,0.33,0.05,126.0,0.2
Africa,2021-03-08,0.35,0.06,140.0,0.2
Africa,2021-03-09,0.36,0.06,137.0,0.21
Africa,2021-03-10,0.37,0.08,155.0,0.23
Africa,2021-03-11,0.38,0.08,160.0,0.25
Africa,2021-03-12,0.38,0.1,168.0,0.26
Africa,2021-03-13,0.39,0.12,189.0,0.27
Africa,2021-03-14,0.4,0.12,186.0,0.27
Africa,2021-03-15,0.4,0.14,191.0,0.28
Africa,2021-03-16,0.41,0.16,201.0,0.29
Africa,2021-03-17,0.41,0.17,186.0,0.3
Africa,2021-03-18,0.42,0.17,186.0,0.31
Africa,2021-03-19,0.43,0.19,183.0,0.31
Africa,2021-03-20,0.43,0.2,150.0,0.32
Africa,2021-03-21,0.43,0.2,151.0,0.32
Africa,2021-03-22,0.43,0.2,122.0,0.32
Africa,2021-03-23,0.44,0.21,112.0,0.32
Africa,2021-03-24,0.49,0.23,191.0,0.33
Africa,2021-03-25,0.49,0.25,201.0,0.33
